coreT,inT,outT,QL,QF,HP,CoreQPower,v1,v2,qPow,qSP,qSV,qCur,qSetV,seq,steps,2h2--4he
149.9227748,137.1200413,24.889873,300,16.89362166,5.36844731,1.660345208,8.306284821,7.953339893,47.72373997,18.73662069,300.2,0.166132034,300,2,179,4
149.9721427,131.5838654,24.88221203,150,39.1438311,9.319043138,2.310950435,8.809500339,8.337392232,48.07806538,35.71344828,300.2,0.166406414,300,3,179,4
149.9975934,129.8933563,24.87566552,100,68.83196676,10.89308731,2.814578763,8.67091374,8.077817407,47.8318141,54.02296552,300.1275862,0.163939448,300,4,359,4
149.9995759,129.8025245,24.869802,150,42.80027831,11.14122421,2.432868089,8.968609768,8.48246628,47.71231445,57.02293103,300.1206897,0.162653828,300,5,179,4
149.9999695,129.7682463,24.86202424,300,19.68071707,11.48796066,1.886900465,9.049908307,8.67722364,47.59631334,57.02227586,300.1172414,0.161313759,300,6,179,4
149.9968915,129.443201,24.84669066,100,10,13.01464155,NaN,NaN,NaN,1.015457828,3.002,300.2,0.003759448,300,7,179,4
200.0004683,173.7159461,24.88079179,300,10,19.58867538,0,0,0,1.018976448,3.002,300.2,0.003771897,300,8,719,4
200.0032023,174.0500836,24.88370534,300,20.009906,17.7055669,2.312613351,9.114606333,8.661531071,48.44782228,57.02031034,300.1068966,0.17501669,300,9,179,4
200.0010491,174.0949396,24.88212521,150,43.3315679,17.14909514,2.963039786,9.043843054,8.448395702,48.32851769,57.02096552,300.1103448,0.174277448,300,10,179,4
200.0003957,174.0842096,24.8782251,100,69.14241052,16.92746624,3.407753596,8.863144734,8.154570237,48.09076486,54.33217241,300.1172414,0.17272069,300,11,359,4
200.0012576,174.0897327,24.88332603,150,43.18620679,17.10304914,2.934527071,9.012099083,8.421705298,48.1063521,57.02031034,300.1068966,0.172539759,300,12,179,4
200.0003051,174.0926613,24.87641276,300,20.01945859,17.51889066,2.323139268,9.114129881,8.659843506,48.35876317,57.02096552,300.1103448,0.172770862,300,13,179,4
199.9960264,173.7599866,24.86873828,100,10,19.38048466,0,0,0,1.063108724,3.002,300.2,0.003785655,300,14,179,4
249.9997433,217.8203808,24.88973366,100,10,26.53880138,0,0,0,1.06621831,3.002,300.2,0.003795759,300,15,719,4
250.0032559,218.1538413,24.89941728,300,19.91961359,24.30132024,2.783053925,9.161953813,8.61369406,48.3632419,57.02162069,300.1137931,0.17688,300,16,179,4
249.9990134,218.0889713,24.89736479,150,43.209148,23.610364,NaN,NaN,NaN,48.2390931,57.019,300.1,0.176326034,300,17,179,4
249.9987941,218.0302793,24.88626738,100,69.60996776,23.28610121,4.064348472,8.936411849,8.084287405,48.47996017,56.1917931,300.1034483,0.176876724,300,18,359,4
