Termperature deg C,Pressure PSIA,Density kg/m^3,Enthalpy (kJ/kg),Cv (heat capacity at constant volume) kJ/(kg*K),Cp (heat capacity at constant pressure) kJ/(kg*K)
0,20,0.24285,1424.1,3.1163,5.1933
50,20,0.2053,1683.8,3.1162,5.1932
100,20,0.17781,1943.4,3.1162,5.1931
150,20,0.15681,2203.1,3.1161,5.1931
200,20,0.14025,2462.7,3.1161,5.1931
250,20,0.12685,2722.4,3.1161,5.1931
300,20,0.11579,2982,3.1161,5.1931
350,20,0.1065,3241.7,3.116,5.1931
400,20,0.09859,3501.4,3.116,5.1931
450,20,0.091775,3761,3.116,5.1931
500,20,0.085842,4020.7,3.116,5.1931
550,20,0.080629,4280.3,3.116,5.1931
600,20,0.076013,4540,3.116,5.1931
650,20,0.071897,4799.6,3.116,5.1931
700,20,0.068203,5059.3,3.116,5.1931
750,20,0.064871,5318.9,3.116,5.1931
800,20,0.061849,5578.6,3.116,5.1931
,,,,,
0,50,0.60647,1424.8,3.1168,5.1934
50,50,0.51279,1684.4,3.1167,5.1932
100,50,0.44418,1944.1,3.1166,5.1931
150,50,0.39176,2203.8,3.1165,5.193
200,50,0.35041,2463.4,3.1164,5.193
250,50,0.31695,2723.1,3.1163,5.193
300,50,0.28933,2982.7,3.1163,5.193
350,50,0.26613,3242.4,3.1163,5.193
400,50,0.24638,3502,3.1162,5.193
450,50,0.22936,3761.6,3.1162,5.193
500,50,0.21453,4021.3,3.1162,5.193
550,50,0.20151,4280.9,3.1162,5.193
600,50,0.18998,4540.6,3.1161,5.193
650,50,0.17969,4800.2,3.1161,5.193
700,50,0.17047,5059.9,3.1161,5.193
750,50,0.16214,5319.5,3.1161,5.193
800,50,0.15459,5579.2,3.1161,5.193
,,,,,
0,100,1.2107,1425.9,3.1178,5.1936
50,100,1.024,1685.6,3.1175,5.1932
100,100,0.88722,1945.2,3.1172,5.193
150,100,0.78266,2204.9,3.117,5.1929
200,100,0.70014,2464.5,3.1169,5.1928
250,100,0.63336,2724.2,3.1168,5.1928
300,100,0.57821,2983.8,3.1167,5.1928
350,100,0.53189,3243.4,3.1166,5.1928
400,100,0.49245,3503.1,3.1166,5.1928
450,100,0.45845,3762.7,3.1165,5.1928
500,100,0.42884,4022.4,3.1165,5.1928
550,100,0.40282,4282,3.1164,5.1928
600,100,0.37978,4541.6,3.1164,5.1928
650,100,0.35923,4801.3,3.1164,5.1928
700,100,0.34079,5060.9,3.1163,5.1928
750,100,0.32416,5320.6,3.1163,5.1928
800,100,0.30907,5580.2,3.1163,5.1928
,,,,,
0,150,1.8129,1427,3.1187,5.1939
50,150,1.5338,1686.7,3.1182,5.1933
100,150,1.3291,1946.4,3.1179,5.1929
150,150,1.1727,2206,3.1176,5.1928
200,150,1.0492,2465.6,3.1174,5.1927
250,150,0.94922,2725.3,3.1172,5.1926
300,150,0.86664,2984.9,3.1171,5.1926
350,150,0.79728,3244.5,3.117,5.1926
400,150,0.7382,3504.2,3.1169,5.1926
450,150,0.68727,3763.8,3.1168,5.1926
500,150,0.64291,4023.4,3.1167,5.1926
550,150,0.60393,4283,3.1167,5.1926
600,150,0.5694,4542.7,3.1166,5.1926
650,150,0.53861,4802.3,3.1166,5.1926
700,150,0.51098,5061.9,3.1165,5.1926
750,150,0.48605,5321.6,3.1165,5.1926
800,150,0.46343,5581.2,3.1165,5.1927
,,,,,
0,200,2.4128,1428.2,3.1196,5.1941
50,200,2.042,1687.8,3.119,5.1933
100,200,1.7699,1947.5,3.1186,5.1929
150,200,1.5619,2207.1,3.1182,5.1926
200,200,1.3976,2466.8,3.1179,5.1925
250,200,1.2645,2726.4,3.1177,5.1924
300,200,1.1546,2986,3.1175,5.1924
350,200,1.0623,3245.6,3.1174,5.1924
400,200,0.98363,3505.2,3.1172,5.1923
450,200,0.91582,3764.8,3.1171,5.1924
500,200,0.85675,4024.5,3.117,5.1924
550,200,0.80483,4284.1,3.1169,5.1924
600,200,0.75885,4543.7,3.1169,5.1924
650,200,0.71784,4803.3,3.1168,5.1924
700,200,0.68103,5062.9,3.1168,5.1924
750,200,0.64781,5322.6,3.1167,5.1925
800,200,0.61768,5582.2,3.1167,5.1925
