Termperature deg C,Pressure PSIA,Density kg/m^3,Enthalpy (kJ/kg),Cv (heat capacity at constant volume) kJ/(kg*K),Cp (heat capacity at constant pressure) kJ/(kg*K)
0,20,0.1223,3575.6,10.071,14.199
50,20,0.10338,4290.6,10.254,14.38
100,20,0.089535,5011.9,10.333,14.459
150,20,0.078961,5735.8,10.366,14.491
200,20,0.070621,6460.8,10.381,14.506
250,20,0.063874,7186.4,10.395,14.52
300,20,0.058305,7912.8,10.413,14.537
350,20,0.053628,8640.3,10.437,14.562
400,20,0.049647,9369.1,10.469,14.594
450,20,0.046215,10100,10.509,14.633
500,20,0.043228,10833,10.557,14.681
550,20,0.040603,11568,10.612,14.736
600,20,0.038278,12306,10.675,14.8
650,20,0.036206,13048,10.746,14.87
700,20,0.034346,13793,10.823,14.948
750,20,0.032668,14543,10.907,15.032
800,20,0.031147,15297,10.997,15.122
,,,,,
0,50,0.30535,3576.3,10.073,14.206
50,50,0.25815,4291.6,10.255,14.385
100,50,0.22361,5013.1,10.335,14.463
150,50,0.19722,5737.2,10.367,14.494
200,50,0.1764,6462.2,10.383,14.508
250,50,0.15956,7188,10.396,14.521
300,50,0.14566,7914.4,10.414,14.538
350,50,0.13398,8641.9,10.438,14.563
400,50,0.12404,9370.8,10.47,14.594
450,50,0.11547,10101,10.51,14.634
500,50,0.10801,10834,10.557,14.681
550,50,0.10146,11570,10.613,14.737
600,50,0.095652,12308,10.676,14.8
650,50,0.090475,13050,10.746,14.87
700,50,0.08583,13795,10.824,14.948
750,50,0.081639,14545,10.908,15.032
800,50,0.077837,15299,10.998,15.122
,,,,,
0,100,0.6094,3577.5,10.076,14.217
50,100,0.51532,4293.3,10.258,14.393
100,100,0.44644,5015.2,10.337,14.468
150,100,0.39382,5739.4,10.369,14.498
200,100,0.3523,6464.7,10.384,14.511
250,100,0.31871,7190.6,10.397,14.524
300,100,0.29097,7917.1,10.415,14.54
350,100,0.26767,8644.7,10.439,14.564
400,100,0.24783,9373.7,10.471,14.596
450,100,0.23073,10104,10.511,14.635
500,100,0.21583,10837,10.558,14.682
550,100,0.20275,11573,10.614,14.737
600,100,0.19115,12311,10.677,14.8
650,100,0.18082,13053,10.747,14.871
700,100,0.17154,13798,10.825,14.948
750,100,0.16317,14548,10.909,15.032
800,100,0.15558,15302,10.998,15.122
,,,,,
0,150,0.91217,3578.7,10.079,14.229
50,150,0.7715,4295.1,10.261,14.401
100,150,0.6685,5017.2,10.339,14.474
150,150,0.5898,5741.7,10.371,14.502
200,150,0.5277,6467.2,10.386,14.515
250,150,0.47744,7193.2,10.399,14.526
300,150,0.43593,7919.8,10.416,14.542
350,150,0.40107,8647.5,10.441,14.566
400,150,0.37137,9376.5,10.472,14.597
450,150,0.34576,10107,10.512,14.636
500,150,0.32346,10840,10.559,14.683
550,150,0.30387,11576,10.615,14.738
600,150,0.28651,12314,10.678,14.801
650,150,0.27103,13056,10.748,14.871
700,150,0.25713,13801,10.825,14.948
750,150,0.2446,14551,10.909,15.032
800,150,0.23322,15305,10.999,15.122
,,,,,
0,200,1.2136,3580,10.082,14.24
50,200,1.0267,4296.8,10.263,14.409
100,200,0.88979,5019.3,10.342,14.479
150,200,0.78517,5744,10.373,14.506
200,200,0.7026,6469.6,10.388,14.518
250,200,0.63577,7195.8,10.401,14.528
300,200,0.58055,7922.5,10.418,14.544
350,200,0.53417,8650.3,10.442,14.567
400,200,0.49465,9379.4,10.474,14.598
450,200,0.46058,10110,10.513,14.637
500,200,0.4309,10843,10.56,14.684
550,200,0.40482,11579,10.616,14.739
600,200,0.38172,12317,10.679,14.801
650,200,0.36111,13059,10.749,14.871
700,200,0.34261,13804,10.826,14.948
750,200,0.32591,14554,10.91,15.032
800,200,0.31077,15308,11,15.122
